0,room_type,neighborhood,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
poco visitado,Entire home/apt,Ciutat Vella,4.5,6,3.0,144.0,41.381494,2.174271
poco visitado,Entire home/apt,Ciutat Vella,4.0,4,2.0,144.0,41.384127,2.18558
poco visitado,Entire home/apt,Ciutat Vella,3.5,6,2.0,132.0,41.38529000000001,2.183684
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,3,2.0,127.0,41.375446,2.122979
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,2,1.0,129.0,41.373768,2.148742
poco visitado,Entire home/apt,Gràcia,4.5,2,1.0,132.0,41.400016,2.162874
poco visitado,Entire home/apt,Eixample,4.5,5,3.0,134.0,41.382311,2.1500220000000003
poco visitado,Entire home/apt,Eixample,4.5,3,1.0,133.0,41.395298,2.158071
poco visitado,Entire home/apt,Ciutat Vella,3.0,4,0.0,133.0,41.381444,2.165871
moderado,Entire home/apt,Ciutat Vella,4.0,3,0.0,144.0,41.386751,2.178667
poco visitado,Entire home/apt,Ciutat Vella,5.0,2,1.0,134.0,41.384143,2.182353
poco visitado,Entire home/apt,Sarrià-Sant Gervasi,4.5,4,2.0,144.0,41.393553,2.125695
poco visitado,Entire home/apt,Ciutat Vella,4.5,4,1.0,143.0,41.381094,2.177754
moderado,Entire home/apt,Gràcia,5.0,2,1.0,112.0,41.39935300000001,2.158516
poco visitado,Entire home/apt,Sants-Montjuïc,4.0,4,1.0,107.0,41.359497,2.137854
poco visitado,Entire home/apt,Ciutat Vella,4.5,4,2.0,114.0,41.378779,2.191098
poco visitado,Entire home/apt,Ciutat Vella,3.5,4,2.0,119.0,41.378365,2.164227
poco visitado,Entire home/apt,Gràcia,4.5,4,2.0,108.0,41.413689,2.153529
poco visitado,Entire home/apt,Gràcia,5.0,3,1.0,112.0,41.403555,2.161654
poco visitado,Entire home/apt,Eixample,3.5,6,3.0,113.0,41.381576,2.151992
poco visitado,Entire home/apt,Ciutat Vella,4.5,3,0.0,121.0,41.383972,2.179321
muy visitado,Entire home/apt,Sant Martí,4.5,6,2.0,116.0,41.411748,2.217727
poco visitado,Entire home/apt,Ciutat Vella,4.5,4,2.0,114.0,41.3784,2.190977
moderado,Entire home/apt,Sant Martí,5.0,4,2.0,121.0,41.399999,2.206433
poco visitado,Entire home/apt,Sants-Montjuïc,4.0,4,0.0,98.0,41.355487,2.1455740000000003
poco visitado,Entire home/apt,Sarrià-Sant Gervasi,5.0,2,1.0,84.0,41.393547,2.144244
poco visitado,Entire home/apt,Sants-Montjuïc,4.5,2,1.0,84.0,41.373863,2.1257580000000003
poco visitado,Entire home/apt,Eixample,3.5,7,3.0,102.0,41.377918,2.155416
poco visitado,Entire home/apt,Ciutat Vella,5.0,2,0.0,91.0,41.384277,2.183575
poco visitado,Entire home/apt,Ciutat Vella,4.0,2,1.0,92.0,41.376719,2.173117
poco visitado,Entire home/apt,Sant Martí,4.0,4,1.0,83.0,41.41493300000001,2.182529
poco visitado,Entire home/apt,Sant Martí,5.0,5,3.0,84.0,41.393361,2.186218
poco visitado,Entire home/apt,Sant Martí,5.0,6,3.0,97.0,41.404634,2.204914
moderado,Entire home/apt,Sant Martí,4.5,4,3.0,84.0,41.411112,2.221733
poco visitado,Entire home/apt,Ciutat Vella,4.5,2,1.0,96.0,41.383586,2.179335
poco visitado,Entire home/apt,Ciutat Vella,4.5,3,2.0,67.0,41.381685,2.175532
poco visitado,Entire home/apt,Sant Martí,3.5,5,3.0,79.0,41.422099,2.20658
poco visitado,Entire home/apt,Eixample,2.5,2,1.0,70.0,41.382006,2.159461
poco visitado,Entire home/apt,Horta-Guinardó,4.5,2,0.0,67.0,41.427177,2.134852
muy visitado,Entire home/apt,Eixample,5.0,2,1.0,69.0,41.397603,2.175026
moderado,Entire home/apt,Horta-Guinardó,4.5,2,0.0,68.0,41.426974,2.136023
poco visitado,Entire home/apt,Horta-Guinardó,3.5,4,2.0,60.0,41.431563,2.141823
poco visitado,Entire home/apt,Gràcia,5.0,2,1.0,50.0,41.39895,2.162235
poco visitado,Entire home/apt,Sant Martí,4.5,5,3.0,53.0,41.418335,2.214122
poco visitado,Entire home/apt,Eixample,3.0,2,1.0,60.0,41.383989,2.154712
poco visitado,Entire home/apt,Eixample,4.5,4,1.0,59.0,41.381575,2.150122
poco visitado,Entire home/apt,Sants-Montjuïc,5.0,6,3.0,48.0,41.37931500000001,2.138152
poco visitado,Entire home/apt,Sants-Montjuïc,4.5,4,2.0,53.0,41.373231,2.167333
poco visitado,Entire home/apt,Eixample,4.5,6,3.0,358.0,41.396222,2.16937
poco visitado,Entire home/apt,Ciutat Vella,4.0,8,4.0,481.0,41.377958,2.1760080000000004
poco visitado,Entire home/apt,Ciutat Vella,4.0,12,3.0,481.0,41.379348,2.178061
poco visitado,Entire home/apt,Eixample,4.5,16,6.0,405.0,41.37663,2.152551
poco visitado,Entire home/apt,Ciutat Vella,4.5,9,3.0,348.0,41.37815300000001,2.168943
poco visitado,Entire home/apt,Eixample,5.0,10,5.0,324.0,41.377424,2.164434
poco visitado,Entire home/apt,Sants-Montjuïc,4.0,5,3.0,361.0,41.373751,2.170095
poco visitado,Entire home/apt,Sants-Montjuïc,4.5,6,3.0,384.0,41.373371,2.171809
poco visitado,Entire home/apt,Eixample,5.0,12,4.0,480.0,41.376185,2.166142
poco visitado,Entire home/apt,Sant Martí,4.5,9,5.0,384.0,41.391345,2.1913240000000003
poco visitado,Entire home/apt,Ciutat Vella,2.0,8,3.0,420.0,41.378832,2.176916
poco visitado,Entire home/apt,Ciutat Vella,1.5,7,4.0,420.0,41.378308,2.176948
poco visitado,Entire home/apt,Ciutat Vella,4.5,9,3.0,312.0,41.379272,2.168844
poco visitado,Entire home/apt,Eixample,5.0,6,2.0,454.0,41.385403,2.156463
poco visitado,Entire home/apt,Eixample,4.5,12,6.0,337.0,41.390388,2.157036
poco visitado,Entire home/apt,Eixample,4.5,10,4.0,312.0,41.385531,2.162777
moderado,Entire home/apt,Eixample,5.0,14,6.0,433.0,41.389364,2.158692
poco visitado,Entire home/apt,Eixample,5.0,6,3.0,312.0,41.391154,2.165447
poco visitado,Entire home/apt,Eixample,4.5,9,3.0,379.0,41.38760900000001,2.166701
poco visitado,Entire home/apt,Eixample,4.5,8,3.0,406.0,41.387693,2.167137
poco visitado,Entire home/apt,Eixample,5.0,6,3.0,323.0,41.395163,2.167394
poco visitado,Entire home/apt,Eixample,4.5,7,3.0,336.0,41.396517,2.171201
moderado,Entire home/apt,Ciutat Vella,4.5,8,2.0,359.0,41.385461,2.1673150000000003
poco visitado,Entire home/apt,Eixample,5.0,9,4.0,312.0,41.396474,2.172259
